year,Beijing,Chongqing,Shenzhen,Guiyang,Kunming,Shanghai,Wuhai,Changsha
2002,4764,1556,5802,1643,2276,4134,1928,1802
2003,4737,1596,6256,1949,2233,5118,2072,2040
2004,5020.93,1766.24,6756.24,1801.68,2473.78,5855,2516.32,2039.09
2005,6788.09,2134.99,7582.27,2168.9,2639.72,6842,3061.77,2313.73
2006,8279.51,2269.21,9385.34,2372.66,2903.32,7196,3689.64,2644.15
2007,11553.26,2722.58,14049.69,2901.63,3108.12,8361,4664.03,3304.74
2008,12418,2785,12665,3149,3750,8195,4781,3288
2009,13799,3442,14615,3762,3807,12840,5329,3648
2010,17782,4281,19170,4410,3660,14464,5746,4418
2011,16851.95,4733.84,21350.13,5069.52,4715.23,14603.24,7192.9,5862.39
2012,17021.63,5079.93,19589.82,4846.14,5744.68,14061.37,7344.05,6100.87
2013,18553,5569,24402,5025,5795,16420,7717,6292
2014,18833,5519,24723,5608,6384,16787,7951,6116
